DriverId,CircuitId,FirstLapChangeList,FirstLapChangeMin,FirstLapChangeMax,FirstLapChangeFirstQuartile,FirstLapChangeMedian,FirstLapChangeThirdQuartile,FirstLapChangeMean,FirstLapChangeSd
1,14,"0,1,5,4,0,-1,-1,-3,0,-5,0,4,2,2,7,-1,0,0,0,0,0,0,-6,0,2,-1,0,-1,1,0,-6,-1,1,2,-1,0,-1,4,-2,0,-1,-1,1,0,1,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,-1,0,3,-1,2,0,3,2,4,0,0,2,-1,0,0,0,2,-1,3,1,-1,0,1,-1,0,0,0,1,-9,1,-1,0,0,1,-2,-1,1,0,6,0,1,0,0,-1,0,2,-3,0,-5,0,",-5,2,-1,0,0,-1,1.7320508075688772
1,16,"0,1,5,4,0,-1,-1,-3,0,-5,0,4,2,2,7,-1,0,0,0,0,0,0,-6,0,2,-1,0,-1,1,0,-6,-1,1,2,-1,0,-1,4,-2,0,-1,-1,1,0,1,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,-1,0,3,-1,2,0,3,2,4,0,0,2,-1,0,0,0,2,-1,3,1,-1,0,1,-1,0,0,0,1,-9,1,-1,0,0,1,-2,-1,1,0,6,0,1,0,0,-1,0,2,-3,0,-5,0,-5,0,",-5,0,-5,0,-5,-3,2.4494897427831779
1,17,"0,1,5,4,0,-1,-1,-3,0,-5,0,4,2,2,7,-1,0,0,0,0,0,0,-6,0,2,-1,0,-1,1,0,-6,-1,1,2,-1,0,-1,4,-2,0,-1,-1,1,0,1,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,-1,0,3,-1,2,0,3,2,4,0,0,2,-1,0,0,0,2,-1,3,1,-1,0,1,-1,0,0,0,1,-9,1,-1,0,0,1,-2,-1,1,0,6,0,1,0,0,-1,0,2,-3,0,-5,0,-5,0,0,0,0,0,1,2,0,0,0,1,0,",0,2,0,0,0,0,0.0
1,18,"0,1,5,4,0,-1,-1,-3,0,-5,0,4,2,2,7,-1,0,0,0,0,0,0,-6,0,2,-1,0,-1,1,0,-6,-1,1,2,-1,0,-1,4,-2,0,-1,-1,1,0,1,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,-1,0,3,-1,2,0,3,2,4,0,0,2,-1,0,0,0,2,-1,3,1,-1,0,1,-1,0,0,0,1,-9,1,-1,0,0,1,-2,-1,1,0,6,0,1,0,0,-1,0,2,-3,0,-5,0,-5,0,0,0,0,0,1,2,0,0,0,1,0,0,-6,5,-1,-1,0,1,0,0,0,4,",-6,5,-1,0,0,0,2.6457513110645907
1,20,"0,1,5,4,0,-1,-1,-3,0,-5,0,4,2,2,7,-1,0,0,0,0,0,0,-6,0,2,-1,0,-1,1,0,-6,-1,1,2,-1,0,-1,4,-2,0,-1,-1,1,0,1,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,-1,0,3,-1,2,0,3,2,4,0,0,2,-1,0,0,0,2,-1,3,1,-1,0,1,-1,0,0,0,1,-9,1,-1,0,0,1,-2,-1,1,0,6,0,1,0,0,-1,0,2,-3,0,-5,0,-5,0,0,0,0,0,1,2,0,0,0,1,0,0,-6,5,-1,-1,0,1,0,0,0,4,-9,-15,1,-2,",-15,1,-9,-2,1,-7,6.2449979983983983
1,22,"0,1,5,4,0,-1,-1,-3,0,-5,0,4,2,2,7,-1,0,0,0,0,0,0,-6,0,2,-1,0,-1,1,0,-6,-1,1,2,-1,0,-1,4,-2,0,-1,-1,1,0,1,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,-1,0,3,-1,2,0,3,2,4,0,0,2,-1,0,0,0,2,-1,3,1,-1,0,1,-1,0,0,0,1,-9,1,-1,0,0,1,-2,-1,1,0,6,0,1,0,0,-1,0,2,-3,0,-5,0,-5,0,0,0,0,0,1,2,0,0,0,1,0,0,-6,5,-1,-1,0,1,0,0,0,4,-9,-15,1,-2,1,2,1,2,-17,0,1,-6,0,",-17,2,0,1,1,-2,5.8309518948453007
1,32,"0,1,5,4,0,-1,-1,-3,0,-5,0,4,2,2,7,-1,0,0,0,0,0,0,-6,0,2,-1,0,-1,1,0,-6,-1,1,2,-1,0,-1,4,-2,0,-1,-1,1,0,1,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,-1,0,3,-1,2,0,3,2,4,0,0,2,-1,0,0,0,2,-1,3,1,-1,0,1,-1,0,0,0,1,-9,1,-1,0,0,1,-2,-1,1,0,6,0,1,0,0,-1,0,2,-3,0,-5,0,-5,0,0,0,0,0,1,2,0,0,0,1,0,0,-6,5,-1,-1,0,1,0,0,0,4,-9,-15,1,-2,1,2,1,2,-17,0,1,-6,0,0,0,-17,",-17,0,-17,0,-17,-6,8.0
1,70,"0,1,5,4,0,-1,-1,-3,0,-5,0,4,2,2,7,-1,0,0,0,0,0,0,-6,0,2,-1,0,-1,1,0,-6,-1,1,2,-1,0,-1,4,-2,0,-1,-1,1,0,1,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,-1,0,3,-1,2,0,3,2,4,0,0,2,-1,0,0,0,2,-1,3,1,-1,0,1,-1,0,0,0,1,-9,1,-1,0,0,1,-2,-1,1,0,6,0,1,0,0,-1,0,2,-3,0,-5,0,-5,0,0,0,0,0,1,2,0,0,0,1,0,0,-6,5,-1,-1,0,1,0,0,0,4,-9,-15,1,-2,1,2,1,2,-17,0,1,-6,0,0,0,-17,5,-1,0,1,",-1,5,0,1,5,1,2.2360679774997898
2,1,"0,1,1,2,0,4,1,-3,-8,5,",-8,5,0,1,1,0,3.4641016151377544
2,2,"0,1,1,2,0,4,1,-3,-8,5,-5,0,5,2,2,3,2,1,1,4,",-5,5,1,2,2,1,2.4494897427831779
2,3,"0,1,1,2,0,4,1,-3,-8,5,-5,0,5,2,2,3,2,1,1,4,0,0,-9,-1,2,2,",-9,2,-1,0,0,-1,3.7416573867739413
2,4,"0,1,1,2,0,4,1,-3,-8,5,-5,0,5,2,2,3,2,1,1,4,0,0,-9,-1,2,2,2,1,0,5,-3,4,0,2,-1,4,7,",-3,7,0,2,2,1,2.8284271247461903
2,6,"0,1,1,2,0,4,1,-3,-8,5,-5,0,5,2,2,3,2,1,1,4,0,0,-9,-1,2,2,2,1,0,5,-3,4,0,2,-1,4,7,3,2,4,0,2,2,0,-3,0,0,",-3,4,0,2,2,1,1.7320508075688772
2,7,"0,1,1,2,0,4,1,-3,-8,5,-5,0,5,2,2,3,2,1,1,4,0,0,-9,-1,2,2,2,1,0,5,-3,4,0,2,-1,4,7,3,2,4,0,2,2,0,-3,0,0,-1,1,2,3,5,-3,0,-1,3,0,",-3,5,-1,1,2,0,2.2360679774997898
2,8,"0,1,1,2,0,4,1,-3,-8,5,-5,0,5,2,2,3,2,1,1,4,0,0,-9,-1,2,2,2,1,0,5,-3,4,0,2,-1,4,7,3,2,4,0,2,2,0,-3,0,0,-1,1,2,3,5,-3,0,-1,3,0,-2,1,1,0,0,0,0,-1,2,",-2,2,0,0,1,0,1.0
2,9,"0,1,1,2,0,4,1,-3,-8,5,-5,0,5,2,2,3,2,1,1,4,0,0,-9,-1,2,2,2,1,0,5,-3,4,0,2,-1,4,7,3,2,4,0,2,2,0,-3,0,0,-1,1,2,3,5,-3,0,-1,3,0,-2,1,1,0,0,0,0,-1,2,1,2,3,1,-1,2,0,2,-3,4,2,",-3,4,0,2,2,1,1.7320508075688772
2,10,"0,1,1,2,0,4,1,-3,-8,5,-5,0,5,2,2,3,2,1,1,4,0,0,-9,-1,2,2,2,1,0,5,-3,4,0,2,-1,4,7,3,2,4,0,2,2,0,-3,0,0,-1,1,2,3,5,-3,0,-1,3,0,-2,1,1,0,0,0,0,-1,2,1,2,3,1,-1,2,0,2,-3,4,2,1,-5,2,2,4,-2,0,",-5,4,-2,1,1,0,2.6457513110645907
2,11,"0,1,1,2,0,4,1,-3,-8,5,-5,0,5,2,2,3,2,1,1,4,0,0,-9,-1,2,2,2,1,0,5,-3,4,0,2,-1,4,7,3,2,4,0,2,2,0,-3,0,0,-1,1,2,3,5,-3,0,-1,3,0,-2,1,1,0,0,0,0,-1,2,1,2,3,1,-1,2,0,2,-3,4,2,1,-5,2,2,4,-2,0,3,-1,0,4,3,2,-2,0,2,0,-2,",-2,4,-1,0,2,0,2.0
2,13,"0,1,1,2,0,4,1,-3,-8,5,-5,0,5,2,2,3,2,1,1,4,0,0,-9,-1,2,2,2,1,0,5,-3,4,0,2,-1,4,7,3,2,4,0,2,2,0,-3,0,0,-1,1,2,3,5,-3,0,-1,3,0,-2,1,1,0,0,0,0,-1,2,1,2,3,1,-1,2,0,2,-3,4,2,1,-5,2,2,4,-2,0,3,-1,0,4,3,2,-2,0,2,0,-2,-5,-2,1,3,0,-4,",-5,3,-4,0,0,-2,2.8284271247461903
2,14,"0,1,1,2,0,4,1,-3,-8,5,-5,0,5,2,2,3,2,1,1,4,0,0,-9,-1,2,2,2,1,0,5,-3,4,0,2,-1,4,7,3,2,4,0,2,2,0,-3,0,0,-1,1,2,3,5,-3,0,-1,3,0,-2,1,1,0,0,0,0,-1,2,1,2,3,1,-1,2,0,2,-3,4,2,1,-5,2,2,4,-2,0,3,-1,0,4,3,2,-2,0,2,0,-2,-5,-2,1,3,0,-4,1,-1,-3,2,5,4,-10,10,3,",-10,10,-1,2,4,1,5.2915026221291814
2,16,"0,1,1,2,0,4,1,-3,-8,5,-5,0,5,2,2,3,2,1,1,4,0,0,-9,-1,2,2,2,1,0,5,-3,4,0,2,-1,4,7,3,2,4,0,2,2,0,-3,0,0,-1,1,2,3,5,-3,0,-1,3,0,-2,1,1,0,0,0,0,-1,2,1,2,3,1,-1,2,0,2,-3,4,2,1,-5,2,2,4,-2,0,3,-1,0,4,3,2,-2,0,2,0,-2,-5,-2,1,3,0,-4,1,-1,-3,2,5,4,-10,10,3,1,0,",0,1,0,1,0,0,0.0
2,17,"0,1,1,2,0,4,1,-3,-8,5,-5,0,5,2,2,3,2,1,1,4,0,0,-9,-1,2,2,2,1,0,5,-3,4,0,2,-1,4,7,3,2,4,0,2,2,0,-3,0,0,-1,1,2,3,5,-3,0,-1,3,0,-2,1,1,0,0,0,0,-1,2,1,2,3,1,-1,2,0,2,-3,4,2,1,-5,2,2,4,-2,0,3,-1,0,4,3,2,-2,0,2,0,-2,-5,-2,1,3,0,-4,1,-1,-3,2,5,4,-10,10,3,1,0,3,2,-1,1,0,2,",-1,3,0,2,2,1,1.0
2,18,"0,1,1,2,0,4,1,-3,-8,5,-5,0,5,2,2,3,2,1,1,4,0,0,-9,-1,2,2,2,1,0,5,-3,4,0,2,-1,4,7,3,2,4,0,2,2,0,-3,0,0,-1,1,2,3,5,-3,0,-1,3,0,-2,1,1,0,0,0,0,-1,2,1,2,3,1,-1,2,0,2,-3,4,2,1,-5,2,2,4,-2,0,3,-1,0,4,3,2,-2,0,2,0,-2,-5,-2,1,3,0,-4,1,-1,-3,2,5,4,-10,10,3,1,0,3,2,-1,1,0,2,-4,0,-4,4,0,1,0,3,4,3,",-4,4,0,1,3,0,2.8284271247461903
2,20,"0,1,1,2,0,4,1,-3,-8,5,-5,0,5,2,2,3,2,1,1,4,0,0,-9,-1,2,2,2,1,0,5,-3,4,0,2,-1,4,7,3,2,4,0,2,2,0,-3,0,0,-1,1,2,3,5,-3,0,-1,3,0,-2,1,1,0,0,0,0,-1,2,1,2,3,1,-1,2,0,2,-3,4,2,1,-5,2,2,4,-2,0,3,-1,0,4,3,2,-2,0,2,0,-2,-5,-2,1,3,0,-4,1,-1,-3,2,5,4,-10,10,3,1,0,3,2,-1,1,0,2,-4,0,-4,4,0,1,0,3,4,3,-18,4,-1,2,0,-1,2,-1,-12,",-18,4,-1,-1,2,-3,6.8556546004010439
2,21,"0,1,1,2,0,4,1,-3,-8,5,-5,0,5,2,2,3,2,1,1,4,0,0,-9,-1,2,2,2,1,0,5,-3,4,0,2,-1,4,7,3,2,4,0,2,2,0,-3,0,0,-1,1,2,3,5,-3,0,-1,3,0,-2,1,1,0,0,0,0,-1,2,1,2,3,1,-1,2,0,2,-3,4,2,1,-5,2,2,4,-2,0,3,-1,0,4,3,2,-2,0,2,0,-2,-5,-2,1,3,0,-4,1,-1,-3,2,5,4,-10,10,3,1,0,3,2,-1,1,0,2,-4,0,-4,4,0,1,0,3,4,3,-18,4,-1,2,0,-1,2,-1,-12,0,-2,-1,2,-2,-1,0,",-2,2,-2,-1,-1,-1,1.0
2,22,"0,1,1,2,0,4,1,-3,-8,5,-5,0,5,2,2,3,2,1,1,4,0,0,-9,-1,2,2,2,1,0,5,-3,4,0,2,-1,4,7,3,2,4,0,2,2,0,-3,0,0,-1,1,2,3,5,-3,0,-1,3,0,-2,1,1,0,0,0,0,-1,2,1,2,3,1,-1,2,0,2,-3,4,2,1,-5,2,2,4,-2,0,3,-1,0,4,3,2,-2,0,2,0,-2,-5,-2,1,3,0,-4,1,-1,-3,2,5,4,-10,10,3,1,0,3,2,-1,1,0,2,-4,0,-4,4,0,1,0,3,4,3,-18,4,-1,2,0,-1,2,-1,-12,0,-2,-1,2,-2,-1,0,1,1,-4,2,-4,-1,0,1,",-4,2,-1,1,1,-1,2.2360679774997898
3,1,"3,0,-1,1,0,3,0,2,0,-1,",-1,3,0,0,1,0,1.4142135623730951
3,2,"3,0,-1,1,0,3,0,2,0,-1,2,-1,-4,3,-1,-4,1,-1,1,0,-15,",-15,3,-4,-1,0,-2,4.6904157598234297
3,3,"3,0,-1,1,0,3,0,2,0,-1,2,-1,-4,3,-1,-4,1,-1,1,0,-15,1,-3,-9,-1,1,-4,0,-1,-1,1,",-9,1,-3,-1,0,-2,2.8284271247461903
3,4,"3,0,-1,1,0,3,0,2,0,-1,2,-1,-4,3,-1,-4,1,-1,1,0,-15,1,-3,-9,-1,1,-4,0,-1,-1,1,4,2,-1,2,-3,0,2,0,0,0,",-3,4,0,0,2,0,1.7320508075688772
3,6,"3,0,-1,1,0,3,0,2,0,-1,2,-1,-4,3,-1,-4,1,-1,1,0,-15,1,-3,-9,-1,1,-4,0,-1,-1,1,4,2,-1,2,-3,0,2,0,0,0,0,-1,2,0,-2,2,0,0,0,0,0,",-2,2,0,0,0,0,1.0
3,7,"3,0,-1,1,0,3,0,2,0,-1,2,-1,-4,3,-1,-4,1,-1,1,0,-15,1,-3,-9,-1,1,-4,0,-1,-1,1,4,2,-1,2,-3,0,2,0,0,0,0,-1,2,0,-2,2,0,0,0,0,0,1,2,1,-3,0,0,1,0,0,-8,",-8,2,0,0,1,-1,2.6457513110645907
3,8,"3,0,-1,1,0,3,0,2,0,-1,2,-1,-4,3,-1,-4,1,-1,1,0,-15,1,-3,-9,-1,1,-4,0,-1,-1,1,4,2,-1,2,-3,0,2,0,0,0,0,-1,2,0,-2,2,0,0,0,0,0,1,2,1,-3,0,0,1,0,0,-8,0,2,1,",0,2,0,1,0,1,0.0
3,9,"3,0,-1,1,0,3,0,2,0,-1,2,-1,-4,3,-1,-4,1,-1,1,0,-15,1,-3,-9,-1,1,-4,0,-1,-1,1,4,2,-1,2,-3,0,2,0,0,0,0,-1,2,0,-2,2,0,0,0,0,0,1,2,1,-3,0,0,1,0,0,-8,0,2,1,4,3,3,1,1,-3,-4,-1,0,-2,0,",-4,4,-2,0,1,0,2.4494897427831779
3,10,"3,0,-1,1,0,3,0,2,0,-1,2,-1,-4,3,-1,-4,1,-1,1,0,-15,1,-3,-9,-1,1,-4,0,-1,-1,1,4,2,-1,2,-3,0,2,0,0,0,0,-1,2,0,-2,2,0,0,0,0,0,1,2,1,-3,0,0,1,0,0,-8,0,2,1,4,3,3,1,1,-3,-4,-1,0,-2,0,-1,0,5,0,-3,",-3,5,-1,0,0,0,2.6457513110645907
3,11,"3,0,-1,1,0,3,0,2,0,-1,2,-1,-4,3,-1,-4,1,-1,1,0,-15,1,-3,-9,-1,1,-4,0,-1,-1,1,4,2,-1,2,-3,0,2,0,0,0,0,-1,2,0,-2,2,0,0,0,0,0,1,2,1,-3,0,0,1,0,0,-8,0,2,1,4,3,3,1,1,-3,-4,-1,0,-2,0,-1,0,5,0,-3,-3,0,-1,0,-1,3,2,-8,0,-1,-1,",-8,3,-1,-1,0,-1,2.6457513110645907
3,13,"3,0,-1,1,0,3,0,2,0,-1,2,-1,-4,3,-1,-4,1,-1,1,0,-15,1,-3,-9,-1,1,-4,0,-1,-1,1,4,2,-1,2,-3,0,2,0,0,0,0,-1,2,0,-2,2,0,0,0,0,0,1,2,1,-3,0,0,1,0,0,-8,0,2,1,4,3,3,1,1,-3,-4,-1,0,-2,0,-1,0,5,0,-3,-3,0,-1,0,-1,3,2,-8,0,-1,-1,2,0,2,5,4,10,1,-1,-2,0,",-2,10,0,2,2,2,3.3166247903553998
3,14,"3,0,-1,1,0,3,0,2,0,-1,2,-1,-4,3,-1,-4,1,-1,1,0,-15,1,-3,-9,-1,1,-4,0,-1,-1,1,4,2,-1,2,-3,0,2,0,0,0,0,-1,2,0,-2,2,0,0,0,0,0,1,2,1,-3,0,0,1,0,0,-8,0,2,1,4,3,3,1,1,-3,-4,-1,0,-2,0,-1,0,5,0,-3,-3,0,-1,0,-1,3,2,-8,0,-1,-1,2,0,2,5,4,10,1,-1,-2,0,1,0,1,4,3,-5,0,1,-2,1,",-5,4,0,1,1,0,2.2360679774997898
3,16,"3,0,-1,1,0,3,0,2,0,-1,2,-1,-4,3,-1,-4,1,-1,1,0,-15,1,-3,-9,-1,1,-4,0,-1,-1,1,4,2,-1,2,-3,0,2,0,0,0,0,-1,2,0,-2,2,0,0,0,0,0,1,2,1,-3,0,0,1,0,0,-8,0,2,1,4,3,3,1,1,-3,-4,-1,0,-2,0,-1,0,5,0,-3,-3,0,-1,0,-1,3,2,-8,0,-1,-1,2,0,2,5,4,10,1,-1,-2,0,1,0,1,4,3,-5,0,1,-2,1,-3,1,",-3,1,-3,1,-3,-1,2.0
3,17,"3,0,-1,1,0,3,0,2,0,-1,2,-1,-4,3,-1,-4,1,-1,1,0,-15,1,-3,-9,-1,1,-4,0,-1,-1,1,4,2,-1,2,-3,0,2,0,0,0,0,-1,2,0,-2,2,0,0,0,0,0,1,2,1,-3,0,0,1,0,0,-8,0,2,1,4,3,3,1,1,-3,-4,-1,0,-2,0,-1,0,5,0,-3,-3,0,-1,0,-1,3,2,-8,0,-1,-1,2,0,2,5,4,10,1,-1,-2,0,1,0,1,4,3,-5,0,1,-2,1,-3,1,1,-4,2,0,0,0,0,-1,-2,0,-1,",-4,2,-1,0,0,-1,1.4142135623730951
3,18,"3,0,-1,1,0,3,0,2,0,-1,2,-1,-4,3,-1,-4,1,-1,1,0,-15,1,-3,-9,-1,1,-4,0,-1,-1,1,4,2,-1,2,-3,0,2,0,0,0,0,-1,2,0,-2,2,0,0,0,0,0,1,2,1,-3,0,0,1,0,0,-8,0,2,1,4,3,3,1,1,-3,-4,-1,0,-2,0,-1,0,5,0,-3,-3,0,-1,0,-1,3,2,-8,0,-1,-1,2,0,2,5,4,10,1,-1,-2,0,1,0,1,4,3,-5,0,1,-2,1,-3,1,1,-4,2,0,0,0,0,-1,-2,0,-1,5,1,4,2,-1,-2,0,0,0,0,",-2,5,0,0,1,0,2.2360679774997898
3,20,"3,0,-1,1,0,3,0,2,0,-1,2,-1,-4,3,-1,-4,1,-1,1,0,-15,1,-3,-9,-1,1,-4,0,-1,-1,1,4,2,-1,2,-3,0,2,0,0,0,0,-1,2,0,-2,2,0,0,0,0,0,1,2,1,-3,0,0,1,0,0,-8,0,2,1,4,3,3,1,1,-3,-4,-1,0,-2,0,-1,0,5,0,-3,-3,0,-1,0,-1,3,2,-8,0,-1,-1,2,0,2,5,4,10,1,-1,-2,0,1,0,1,4,3,-5,0,1,-2,1,-3,1,1,-4,2,0,0,0,0,-1,-2,0,-1,5,1,4,2,-1,-2,0,0,0,0,-6,3,6,1,-1,",-6,6,-1,1,3,0,4.0
3,21,"3,0,-1,1,0,3,0,2,0,-1,2,-1,-4,3,-1,-4,1,-1,1,0,-15,1,-3,-9,-1,1,-4,0,-1,-1,1,4,2,-1,2,-3,0,2,0,0,0,0,-1,2,0,-2,2,0,0,0,0,0,1,2,1,-3,0,0,1,0,0,-8,0,2,1,4,3,3,1,1,-3,-4,-1,0,-2,0,-1,0,5,0,-3,-3,0,-1,0,-1,3,2,-8,0,-1,-1,2,0,2,5,4,10,1,-1,-2,0,1,0,1,4,3,-5,0,1,-2,1,-3,1,1,-4,2,0,0,0,0,-1,-2,0,-1,5,1,4,2,-1,-2,0,0,0,0,-6,3,6,1,-1,0,",0,0,0,0,0,0,0.0
3,22,"3,0,-1,1,0,3,0,2,0,-1,2,-1,-4,3,-1,-4,1,-1,1,0,-15,1,-3,-9,-1,1,-4,0,-1,-1,1,4,2,-1,2,-3,0,2,0,0,0,0,-1,2,0,-2,2,0,0,0,0,0,1,2,1,-3,0,0,1,0,0,-8,0,2,1,4,3,3,1,1,-3,-4,-1,0,-2,0,-1,0,5,0,-3,-3,0,-1,0,-1,3,2,-8,0,-1,-1,2,0,2,5,4,10,1,-1,-2,0,1,0,1,4,3,-5,0,1,-2,1,-3,1,1,-4,2,0,0,0,0,-1,-2,0,-1,5,1,4,2,-1,-2,0,0,0,0,-6,3,6,1,-1,0,-2,-1,-3,2,2,0,-3,0,",-3,2,-2,0,2,-1,1.7320508075688772
3,32,"3,0,-1,1,0,3,0,2,0,-1,2,-1,-4,3,-1,-4,1,-1,1,0,-15,1,-3,-9,-1,1,-4,0,-1,-1,1,4,2,-1,2,-3,0,2,0,0,0,0,-1,2,0,-2,2,0,0,0,0,0,1,2,1,-3,0,0,1,0,0,-8,0,2,1,4,3,3,1,1,-3,-4,-1,0,-2,0,-1,0,5,0,-3,-3,0,-1,0,-1,3,2,-8,0,-1,-1,2,0,2,5,4,10,1,-1,-2,0,1,0,1,4,3,-5,0,1,-2,1,-3,1,1,-4,2,0,0,0,0,-1,-2,0,-1,5,1,4,2,-1,-2,0,0,0,0,-6,3,6,1,-1,0,-2,-1,-3,2,2,0,-3,0,0,0,",0,0,0,0,0,0,0.0
3,70,"3,0,-1,1,0,3,0,2,0,-1,2,-1,-4,3,-1,-4,1,-1,1,0,-15,1,-3,-9,-1,1,-4,0,-1,-1,1,4,2,-1,2,-3,0,2,0,0,0,0,-1,2,0,-2,2,0,0,0,0,0,1,2,1,-3,0,0,1,0,0,-8,0,2,1,4,3,3,1,1,-3,-4,-1,0,-2,0,-1,0,5,0,-3,-3,0,-1,0,-1,3,2,-8,0,-1,-1,2,0,2,5,4,10,1,-1,-2,0,1,0,1,4,3,-5,0,1,-2,1,-3,1,1,-4,2,0,0,0,0,-1,-2,0,-1,5,1,4,2,-1,-2,0,0,0,0,-6,3,6,1,-1,0,-2,-1,-3,2,2,0,-3,0,0,0,0,1,1,",0,1,0,1,0,0,0.0
4,1,"2,-2,1,3,2,2,0,-4,-15,-4,4,2,-1,1,1,",-15,4,-2,1,2,-1,4.4721359549995796
4,2,"2,-2,1,3,2,2,0,-4,-15,-4,4,2,-1,1,1,-2,1,4,0,9,0,3,5,3,-2,3,1,-1,3,10,-1,",-2,10,0,3,4,2,3.3166247903553998
4,3,"2,-2,1,3,2,2,0,-4,-15,-4,4,2,-1,1,1,-2,1,4,0,9,0,3,5,3,-2,3,1,-1,3,10,-1,2,1,2,0,-3,-1,1,4,0,2,1,0,",-3,4,0,1,2,0,1.7320508075688772
4,4,"2,-2,1,3,2,2,0,-4,-15,-4,4,2,-1,1,1,-2,1,4,0,9,0,3,5,3,-2,3,1,-1,3,10,-1,2,1,2,0,-3,-1,1,4,0,2,1,0,-1,-2,0,1,2,0,2,2,0,3,1,2,0,1,1,-4,",-4,3,0,1,2,0,1.7320508075688772
